x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-1916092.5604649666,-467742.2467262468,-25295043255.023888,53407868677.23726,-99431219594.57047,38932538370.61121,120458141256.41425,85588116413.26228,-204716955801.6977,94378255144.67574,-714347274286.3096,-287504580376.2406,-1348122983357.788,-418101306856.1981,-1054208060628.3329,-2637218802522.333,-3145164809618.271,3279061788536.9604
-2259827.8783737253,-550145.4620427362,-39290795507.93974,43919463778.851395,-103311407533.32372,26880109346.007538,113887749753.45316,94096143399.71803,-208184277261.91776,86405348509.91039,-712576757789.1066,-291860154735.5742,-1347089714524.4534,-421414378016.6737,-1051931180153.2842,-2638127697620.858,-3146575367772.7466,3277708429958.656
-2633944.672388732,-640730.5779683877,-49999799408.539955,30756800675.32204,-105737754036.33849,14449371342.949135,106712651393.07959,102104565327.60004,-211340421564.51984,78303246734.75734,-710779535592.2065,-296204788552.3845,-1346048206406.033,-424724875912.24854,-1049653513331.6815,-2639034617468.303,-3147985351024.774,3276354472168.3906
-3038735.25568008,-740140.4056603971,-56477272655.4175,14990927193.86468,-106674819139.90712,1815083738.5273304,98970491654.66316,109570432833.97298,-214180573357.34595,70084024436.27792,-708955674824.7367,-300538318802.915,-1344998465364.0415,-428032780461.708,-1047375061865.2249,-2639939561375.955,-3149394759117.967,3274999915415.1826
-3474393.9497494744,-849074.329470409,-58108410956.63909,-2061485258.9084492,-106108112614.1367,-10844818725.106968,90701971961.80914,116453592726.69336,-216700380460.10675,61759936856.14143,-707105243597.428,-304860582869.2619,-1343940497810.767,-431338071598.7351,-1045095827456.1677,-2640842528656.5156,-3150803591796.042,3273644759948.1562
-3941004.157999895,-968266.8424205931,-54678618617.96883,-18934431559.770927,-104044371737.4314,-23351735910.909874,81950647171.88687,122716907036.5437,-218895960731.06738,53343402504.08653,-705228311000.3059,-309171418545.16956,-1342874310209.22,-434640729271.9851,-1042815811807.3156,-2641743518624.103,-3152211848802.8203,3272289006016.5425
-4438530.583345919,-1098461.79272941,-46416873378.82666,-34134103721.96685,-100511537056.9696,-35528938879.730675,72762707053.11156,128326458109.58351,-220763908316.8729,44846985525.08854,-703324947100.3495,-313470664041.7948,-1341799909073.0786,-437940733445.15955,-1040535016622.0242,-2642642530594.253,-3153619529882.227,3270932653869.6777
-4966818.594002726,-1240383.6804576518,-34000200494.584415,-46278104593.073456,-95558422290.46588,-47204096182.89258,63186742610.05058,133251738517.93242,-222301299275.96082,36283377811.69915,-701395222939.1088,-317758157993.43854,-1340717300966.6338,-441238064097.0792,-1038253443604.1987,-2643539563883.92,-3155026634778.2905,3269575703757.0054
-5525602.308252444,-1394708.496055773,-18509776431.656998,-54237838570.6525,-89254079400.69395,-58211752267.44202,53273498219.3009,137465824604.69803,-223505696564.95496,27665380884.019646,-699439210530.2703,-322033739463.2468,-1339626492504.7285,-444532701221.7574,-1035971094458.292,-2644434617811.4785,-3156433163235.143,3268218155928.074
-6114521.802648418,-1562037.5233338536,-1336150348.5979729,-57263960124.615005,-81686864899.18126,-68395720131.79362,43075610639.03682,140945532525.6219,-224375154376.12,19005887559.410416,-697456982857.1671,-326297247948.8879,-1338527490352.6963,-447824624828.47284,-1033687970889.3032,-2645327691696.725,-3157839114997.022,3266860010632.539
-6733148.12646794,-1742877.7412418155,15958606206.235725,-55073475723.32482,-72963218298.868,-77611350863.1872,32647336058.178722,143671555706.88092,-224908221813.87308,10317863433.349548,-695448613870.2345,-330548523388.2137,-1337420301226.295,-451113814941.84406,-1031404074602.7772,-2646218784860.8784,-3159244489808.2686,3265501268120.161
-7381013.060458555,-1937631.634348753,31803550108.11158,-47882053035.481224,-63206168562.44466,-85727644033.76254,22044266451.97065,145628582705.87653,-225103945899.20648,1614328192.7797012,-693414178484.4172,-334787406164.9113,-1336304931891.6406,-454400251601.9047,-1029119407304.8029,-2647107896626.5815,-3160649287413.3276,3264141928640.8066
