x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-1599757.322003557,-398424.98609492474,32401617530.179447,96257308420.02112,-98689243104.38188,50173502393.128845,126443275440.68555,78117098780.42094,-201187385191.0654,101956969851.4169,-716089446889.2198,-283142813056.0889,-1349147845699.2695,-414786238712.5075,-1056484106413.6813,-2636307952189.584,-3143753683896.8003,3280414540835.79
-1912351.9156756268,-475451.4630419322,21595397507.25601,106220280392.46222,-104894983983.85353,38589505863.74261,120499019782.10121,87366050241.74893,-205005141321.7576,94072220814.07257,-714345376983.7562,-287510077121.51025,-1348122789721.962,-418101974115.97784,-1054208004651.7883,-2637218825698.926,-3145164818111.897,3279061780353.4683
-2254234.224471474,-560550.3139468001,10379274185.104315,114682923520.67613,-109835161547.25029,26452410410.14859,113912295370.6856,96184547386.61461,-208519931103.5373,86041215171.01297,-712574502745.6049,-291866645798.522,-1347089485020.241,-421415166402.5625,-1051931113991.9412,-2638127724993.0625,-3146575377809.3315,3277708420285.8745
-2625554.537380295,-654168.1796897372,-1040219667.8801603,121788764393.73146,-113480291314.62624,13921678102.944473,106718518837.97054,104527810231.16249,-211726339651.44366,77875847790.39731,-710776889847.4192,-296212355433.7452,-1346047937879.629,-424725795468.21265,-1049653436135.0137,-2639034649381.1553,-3147985362732.5615,3276354460881.8677
-3026407.380625023,-756753.442088418,-12513013501.77736,127674699120.07391,-115823475340.88846,1154151049.606411,98956476651.00444,112354240884.72226,-214619427969.53928,69588225710.41766,-708952604949.439,-300547042768.5063,-1344998154636.5303,-428033841223.6093,-1047374972782.4366,-2639939598173.7803,-3149394772625.1484,3274999902390.412
-3456837.2168850396,-868747.585305616,-23930193916.85414,132465990079.9496,-116878729834.80942,-11699498724.08097,90668012887.52386,119625728022.6265,-217194743197.88947,61190648718.481285,-707101715697.3228,-304870544944.74,-1343940141678.1782,-431339283594.239,-1045095725636.1952,-2640842570682.9263,-3150803607230.757,3273644745060.5796
-3916844.8501228495,-990578.4632239225,-35212712094.98327,136274787711.05118,-116678710485.44289,-24497736740.70533,81897680992.16095,126307915471.95592,-219448328035.40543,52695589249.063545,-705224290719.9536,-309182699510.87476,-1342873905442.5854,-434642102520.4692,-1042815696398.8285,-2641743566221.9985,-3152211866293.155,3272288989141.547
-4406394.219645693,-1122655.3896123986,-46303204832.218895,139200382607.21515,-115272031337.34763,-37110457024.093605,72692364665.53593,132370429500.0376,-221376729286.9307,44115671639.6385,-703320399627.2097,-313483344427.6999,-1341799452418.4915,-437942277957.62305,-1040534886773.427,-2642642584105.818,-3153619549556.2153,3270932634882.599
-4925419.248101253,-1265365.9475856589,-57160110189.06844,141330225324.74704,-112720376641.36464,-49420568248.46707,63100873983.29546,137787060323.34558,-222977005482.72647,35463650789.761024,-701390113007.7017,-317772318074.2124,-1340716789145.3062,-441239789876.055,-1038253298463.6322,-2643539623650.6235,-3155026656763.9146,3269575682533.1265
-5473830.424137589,-1419074.3549466631,-67753434480.18605,142741216499.9523,-109095587468.934,-61324903944.413445,53173523589.264885,142535894464.74445,-224246733518.95425,26752390272.74483,-699433502426.469,-322049459253.44403,-1339625922213.0552,-444534618261.22534,-1035970933173.6344,-2644434684174.0737,-3156433187660.3325,3268218132342.6265
