x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-4663540.749229337,-1220122.2118207237,-29679386511.49525,122791273937.42667,-121854616441.8836,-32329393918.331978,72887598998.13324,138309409089.71106,-225430183345.29593,38123554009.70295,-701650813789.1682,-317855664353.64636,-1340795400478.517,-441261622537.8844,-1038260935398.906,-2643558195230.104,-3155032055104.9175,3269581372782.521
-5195666.121672048,-1370660.0724676144,-40907070231.68,122970788417.29303,-119667818987.34613,-44086892305.59793,63585140763.32245,143467537799.87622,-226887281877.95758,29556812975.15765,-699708047915.8866,-322137244651.0137,-1339708677231.451,-444557601491.9492,-1035978972175.5872,-2644454233369.274,-3156438870130.4126,3268224122099.64
-5757041.1196161825,-1532213.7699260977,-51847730386.48013,122145560951.21971,-116466758438.36444,-55524086756.98359,53978687526.110405,147998064527.7374,-228020813909.34396,20941646740.95183,-697739049359.5012,-326406841086.2675,-1338613757924.7158,-447850877196.67566,-1033696233693.0076,-2645348291832.991,-3157845108590.152,3266866273828.1724
-6347600.760466919,-1705119.433189075,-62437467395.30411,120389439128.03711,-112307869885.16035,-66557830590.97305,44113321669.57809,151886783646.0215,-228829670834.8094,12290429840.10867,-695743892485.9235,-330664294010.51324,-1337510649296.3882,-451141429689.30334,-1031412721656.9935,-2646240369943.249,-3159250770228.5327,3265507828217.9336
-6967265.017182637,-1889700.2153212975,-72622909216.10883,117772853012.79872,-107252950728.09894,-77114018573.40172,34034440715.27051,155122884738.3528,-229313224022.2451,3615541596.7643414,-693722652619.0408,-334909444232.61346,-1336399358134.8374,-454429239022.77374,-1029128437773.9126,-2647130467023.463,-3160655854790.0566,3264148785518.846
-7615941.491767262,-2086266.1636493243,-82359347919.66579,114362697703.04362,-101367869665.16124,-87127576317.49934,23787489281.195496,157698911157.24585,-229471323733.36703,-5070652969.4925785,-691675406038.0227,-339142133024.80145,-1335279891278.6606,-457714285265.80597,-1026843383750.6722,-2648018582398.474,-3162060362019.3296,3262789145980.938
-8293527.8016467905,-2295114.4345248668,-91609216223.52599,110222384120.72034,-94721381361.51677,-96542292596.95969,13417700446.519882,159610695690.88956,-229304297236.5102,-13755822192.346106,-689602229974.5859,-343362202128.2767,-1334152255616.6165,-460996548502.97363,-1024557561294.7188,-2648904715394.5493,-3163464291661.062,3261428909854.342
-8999913.665105086,-2516529.7725563315,-100340843697.83443,105411994454.60022,-87384059220.66966,-105310524761.30853,2969848738.9034195,160857274841.60315,-228812946108.06,-22427686721.50694,-687503202610.2195,-347569493758.7839,-1333016458087.5564,-464276008834.7821,-1022270972114.0358,-2649788865339.3823,-3164867643460.0693,3260068077389.296
-9734982.685291618,-2750785.181639515,-108527441779.42839,99988499680.94238,-79427352304.34169,-113392806132.56139,-7511983286.141855,161440783463.9689,-227998542722.20663,-31074038359.87285,-685378403073.37,-351763850612.177,-1331872505680.3557,-467552646377.74664,-1019983617917.1432,-2650671031562.0947,-3166270417161.2715,3258706648836.144
-10498613.843044162,-2998142.7238181536,-116146275533.59535,94006010986.02638,-70922767144.79903,-120757381935.89029,-17984623179.724144,161366331711.1592,-226862825931.2893,-39682758735.00362,-683227911436.5891,-355945115869.96985,-1330720405433.8423,-470826441264.47156,-1017695500413.0956,-2651551213393.2373,-3167672612509.694,3257344624445.3354
-11290682.716874206,-3258854.3913865737,-123177987826.7504,87516046730.235,-61941171007.77584,-127379697345.58081,-28406010048.995056,160641866390.8948,-225407995941.58896,-48241837764.51287,-681051808713.6442,-360113133204.87427,-1329560164436.7246,-474097373643.7301,-1015406621311.481,-2652429410164.792,-3169074229250.467,3255982004467.4243
