t,T1,T2,T3,T4,T5,T6,T7,T8,T9
0.52,29.155124400034236,31.484648855829136,21.10119812686056,19.406247411967307,22.887042307175427,26.835233815473785,3.3913940083221266,-24.1030912767912,-1.120348093429982
0.54,28.980939760376916,31.983185645079505,21.789782262229252,19.412803411027667,22.878053140105248,27.02759262706475,5.42330502831842,-23.694345594588924,-2.561575505277077
0.56,28.763258251207496,32.42420952355413,22.46978338543141,19.421898077338824,22.868844395473257,27.203394477531067,7.541399012957981,-23.059910804466327,-3.8786121266893057
0.58,28.503098910762574,32.80557916195724,23.137938872580516,19.433484575574294,22.85943992571973,27.36180101879479,9.735533718081141,-22.202808280027597,-5.065131573869409
0.6,28.201684627634833,33.125437845070984,23.791041301223576,19.447504129140004,22.849864510558966,27.502057213030394,11.995201758088829,-21.12712692713609,-6.115432672664426
0.62,27.860436387608026,33.38222250082626,24.425953832129807,19.46388629562626,22.840143738325924,27.623494959194655,14.309580931503223,-19.8380036883854,-7.0244668433903295
0.64,27.48096656246013,33.574671320636874,25.0396252611796,19.48254929863818,22.83030388338694,27.725536301177073,16.66758607762886,-18.34159898661431,-7.787862345077348
0.66,27.065071273752178,33.701829931931584,25.6291046657384,19.50340041437886,22.820371780228655,27.807696201385877,19.057922204457356,-16.6450672284834,-8.401945256756774
0.68,26.614721889382075,33.76305612469012,26.191555582789125,19.526336409885413,22.810374694915822,27.869584875994246,21.469138599398203,-14.756522625143177,-8.863757166504934
0.7000000000000001,26.132055654891428,33.75802305348466,26.724269638710183,19.55124403309536,22.800340194371508,27.910909664231188,23.88968372690666,-12.685000290564746,-9.171069360268566
0.72,25.619365549515475,33.68672096448659,27.224679579309885,19.578000549746584,22.79029601430014,27.931476442156292,26.307960574388126,-10.440413045795445,-9.322393587896105
0.74,25.079089378125538,33.54945738699541,27.690371627701527,19.60647432673237,22.780269926219237,27.931190558906554,28.712382246896812,-8.033503940979482,-9.31698924058837
0.76,24.51379815720932,33.346855788659276,28.119097104269063,19.636525458801774,22.770289604309294,27.910057290698223,31.091427514086618,-5.475794752051891,-9.154866903355613
0.78,23.926183868569552,33.07985273933744,28.508783271125733,19.66800643449687,22.760382492728798,27.868181822658414,33.43369604327411,-2.7795308037588975,-8.836788357949592
0.8,23.319046655226305,32.74969361745849,28.85754335151547,19.700762837216207,22.750575674112135,27.805768764638202,35.72796302181433,0.042377531114442785,-8.3642630818436
0.8200000000000001,22.695281448165563,32.35792675346438,29.163685632221316,19.734634082394606,22.740895739689385,27.72312116500235,37.963232976288445,2.9764167714093794,-7.739540971903859
0.84,22.057864130020324,31.906396145301883,29.425721664665907,19.76945418462885,22.731368661574198,27.62063906143063,40.12879257232101,6.008535161404971,-6.965601586882228
0.86,21.40983734624005,31.39723278687572,29.642373481757307,19.805052548683495,22.72201966833735,27.498817574679478,42.21426193109776,9.124209879241924,-6.04613995097358
0.88,20.75429598937321,30.832844615764234,29.81257980829605,19.841254782980855,22.712873124140728,27.358244545473735,44.20964434855767,12.30851651012227,-4.985548920338064
0.9,20.09437237003485,30.21590508292179,29.9355012526531,19.877883534836432,22.7039524115801,27.199597714298143,46.10537435642969,15.54620073029584,-3.788898112232729
